item_id,nome,categoria,preco,descricao,imagem_url,cat_idx
0,Fone de Ouvido Sem Fio Cool,Eletrônicos,387.05,Fone de Ouvido Sem Fio Cool da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item0,4
1,Quadro Fotografia Prime,Casa e Decoração,951.7,Quadro Fotografia Prime da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item1,3
2,Webcam HD Pro,Eletrônicos,737.35,Webcam HD Pro da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item2,4
3,Raquete Tênis Smart,Esportes,606.69,Raquete Tênis Smart da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item3,5
4,Mouse Sem Fio Top,Eletrônicos,172.9,Mouse Sem Fio Top da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item4,4
5,Meia Esportiva Top,Roupas,172.87,Meia Esportiva Top da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item5,7
6,Bola de Futebol Classic,Esportes,76.92,Bola de Futebol Classic da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item6,5
7,Condicionador Hidratante Prime,Beleza e Cuidados,868.85,Condicionador Hidratante Prime da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item7,1
8,Haltere 5kg Cool,Esportes,609.09,Haltere 5kg Cool da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item8,5
9,Cerveja Stout Fit,Alimentos e Bebidas,713.91,Cerveja Stout Fit da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item9,0
10,Fone de Ouvido Sem Fio Trend,Eletrônicos,40.17,Fone de Ouvido Sem Fio Trend da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item10,4
11,Teclado Mecânico Fit,Eletrônicos,970.51,Teclado Mecânico Fit da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item11,4
12,Condicionador Hidratante Classic,Beleza e Cuidados,835.79,Condicionador Hidratante Classic da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item12,1
13,Carregador Portátil Pro,Eletrônicos,228.09,Carregador Portátil Pro da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item13,4
14,Hidratante Facial Fit,Beleza e Cuidados,198.19,Hidratante Facial Fit da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item14,1
15,Relógio de Parede Minimalista Smart,Casa e Decoração,199.74,Relógio de Parede Minimalista Smart da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item15,3
16,Porta-Retrato Metal Pro,Casa e Decoração,318.16,Porta-Retrato Metal Pro da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item16,3
17,Relógio de Parede Minimalista Trend,Casa e Decoração,534.26,Relógio de Parede Minimalista Trend da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item17,3
18,Perfume Cítrico Nexus,Beleza e Cuidados,443.31,Perfume Cítrico Nexus da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item18,1
19,Blocos de Montar Veículos Fit,Brinquedos,305.4,Blocos de Montar Veículos Fit da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item19,2
20,Blocos de Montar Veículos Nexus,Brinquedos,619.62,Blocos de Montar Veículos Nexus da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item20,2
21,Condicionador Hidratante Lumina,Beleza e Cuidados,156.7,Condicionador Hidratante Lumina da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item21,1
22,Chá Verde Top,Alimentos e Bebidas,306.3,Chá Verde Top da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item22,0
23,Azeite Extra Virgem Trend,Alimentos e Bebidas,379.03,Azeite Extra Virgem Trend da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item23,0
24,Hidratante Facial Top,Beleza e Cuidados,466.95,Hidratante Facial Top da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item24,1
25,Kite Mini Top,Brinquedos,789.47,Kite Mini Top da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item25,2
26,Shorts Jeans Trend,Roupas,215.68,Shorts Jeans Trend da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item26,7
